# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
ju da 	巨大	c=2 d=1.94176 t=11936
ju qing 	劇情	c=1 d=1 t=14216
ju ti 	具體	c=11 d=2.16473 t=14295
ju you 	具有	c=24 d=1 t=14511
ju yu wang 	局域網	c=1 d=1 t=11598
ju zhen 	矩陣	c=8 d=1.07261 t=14064
ju zhong 	居中	c=1 d=1 t=7323
juan 	卷	c=1 d=1 t=2787
jue de 	覺得	c=2 d=1 t=11409
jue dui zhi 	絕對值	c=1 d=1 t=13662
jun 	軍	c=3 d=1 t=7638
ka hao 	卡號	c=1 d=1 t=8025
kai 	開	c=1 d=1 t=11038
kai fa 	開發	c=1 d=1 t=6519
kai ji 	開機	c=7 d=1.10438 t=13109
kai she 	開設	c=1 d=1 t=10568
kai shi 	開始	c=3 d=1 t=12338
kai shi fei 	開始飛	c=1 d=1 t=9590
kai tong 	開通	c=1 d=1 t=8055
kai xiao 	開銷	c=8 d=1.97222 t=14098
kai xin 	開心	c=3 d=1 t=13638
kai xue 	開學	c=2 d=1.77105 t=7471
kai zhe 	開着	c=1 d=1 t=12530
kai zou 	開走	c=0 d=0.1 t=7777
kai zou le 	開走了	c=1 d=1 t=7778
kan 	看	c=16 d=3.41463 t=13642
kan bu dao 	看不到	c=2 d=1.54607 t=13291
kan bu liao 	看不了	c=1 d=1 t=10969
kan chu 	看出	c=8 d=1 t=10882
kan dao 	看到	c=3 d=1 t=13030
kan hao 	看好	c=2 d=1.97531 t=14503
kan kan 	看看	c=14 d=2.55454 t=13546
kan lai 	看來	c=3 d=1 t=13446
kan le 	看了	c=1 d=1 t=382
kan qi lai 	看起來	c=1 d=1 t=7861
kan xia 	看下	c=1 d=1 t=13085
kan yi xia 	看一下	c=1 d=1 t=13125
kan zhe ge 	看這個	c=1 d=1 t=7031
kang xi 	康熙	c=3 d=1.1 t=14519
kang xi wang chao 	康熙王朝	c=1 d=1 t=14520
kao bei 	拷貝	c=2 d=1.46301 t=10714
kao lv 	考慮	c=35 d=4.16734 t=14488
kao qin 	考勤	c=7 d=1 t=14287
kao qin ji lu 	考勤記錄	c=1 d=1 t=11952
ke 	可	c=5 d=1 t=8433
ke de 	可得	c=2 d=1.89583 t=4350
ke du 	刻度	c=2 d=1.91851 t=11563
ke fu 	客服	c=2 d=1.00258 t=10145
ke hu 	客戶	c=1 d=1 t=879
ke hu duan 	客戶端	c=4 d=1.02593 t=9729
ke jian 	可見	c=2 d=1.93239 t=12461
ke lian 	可憐	c=0 d=0.1 t=10615
ke neng 	可能	c=12 d=0.105799 t=14381
ke shi 	可是	c=6 d=1 t=10695
ke shi yong 	可使用	c=1 d=1 t=6074
ke shu 	可數	c=3 d=1 t=14470
ke shu 	棵樹	c=1 d=1 t=7698
ke ti 	課題	c=1 d=1 t=6743
ke xing 	可行	c=1 d=0.1 t=14115
ke xing jie 	可行解	c=1 d=1 t=14116
ke xing xing 	可行性	c=3 d=1.0002 t=5619
ke xue 	科學	c=2 d=1.0135 t=7494
ke yi 	可以	c=93 d=2.98562 t=14425
ke yi bei 	可以被	c=1 d=1 t=7346
ke yi jiang 	可以將	c=1 d=1 t=3064
ke yi kan 	可以砍	c=1 d=1 t=4849
ke yi kan chu 	可以看出	c=1 d=1 t=3701
ke yong 	可用	c=1 d=1 t=6560
ke yun 	客運	c=0 d=0.1 t=5160
ke yun xu 	客運需	c=1 d=1 t=5161
ke zhi 	剋制	c=1 d=1 t=2138
ke zhi 	可知	c=9 d=1.00013 t=6310
ke zhi xing 	可執行	c=1 d=1 t=8400
ken ding 	肯定	c=1 d=1 t=7955
ken qing 	懇請	c=1 d=1 t=5355
keng 	坑	c=2 d=1 t=8183
kong 	空	c=1 d=1 t=10300
kong bai 	空白	c=1 d=1 t=10226
kong jian 	空間	c=13 d=2.77093 t=11570
kong qi dong li xue 	空氣動力學	c=1 d=1 t=14154
kong tiao 	空調	c=3 d=1.00161 t=12523
kong tiao shan 	空調扇	c=1 d=1 t=11134
kong zhi 	控制	c=38 d=1.12792 t=14348
kong zhi ke xue 	控制科學	c=2 d=1 t=6646
kong zhi lv 	控制率	c=1 d=1 t=2380
kong zhi qi 	控制器	c=20 d=2.95013 t=6403
kong zhi tai 	控制檯	c=1 d=1 t=8356
kong zhi wen ti 	控制問題	c=3 d=1.00846 t=2912
kong zhi xi tong 	控制系統	c=5 d=1.10808 t=14168
kou 	口	c=1 d=1 t=8217
kou 	釦	c=1 d=1 t=7289
ku 	庫	c=4 d=2.8148 t=10504
ku ao 	苦熬	c=0 d=0.1 t=208
kuai 	塊	c=3 d=1 t=13181
kuai 	快	c=2 d=1 t=7159
kuai di 	快遞	c=8 d=4.07576 t=9366
kuai dian 	快點	c=2 d=1.8825 t=7173
kuai jie jian 	快捷鍵	c=3 d=1 t=8549
kuai lai 	快來	c=1 d=1 t=10982
kuai su 	快速	c=3 d=2.12597 t=9239
kuai xun 	快訊	c=1 d=1 t=286
kuai ya 	快呀	c=1 d=1 t=10984
kuan 	款	c=3 d=1 t=7290
kuan du 	寬度	c=1 d=1 t=7321
kuan zhan 	寬展	c=1 d=1 t=6506
kuang 	框	c=2 d=1.00176 t=4367
kuang jia 	框架	c=3 d=1 t=12092
kuang tu 	框圖	c=2 d=1 t=5886
kun nan du 	困難度	c=1 d=1 t=14404
kuo zhan 	擴展	c=1 d=1 t=8523
la 	啦	c=5 d=1.28508 t=13013
la la 	啦啦	c=1 d=1 t=9084
la shen 	拉伸	c=3 d=2.93124 t=7648
lai 	來	c=8 d=1.00277 t=10985
lai dian 	來電	c=2 d=1.80252 t=8093
lai ge 	來個	c=1 d=1 t=6853
lai kan 	來看	c=1 d=1 t=5926
lai shuo 	來說	c=2 d=1.00549 t=13426
lai yuan 	來源	c=1 d=1 t=6572
lai yuan yu 	來源於	c=1 d=1 t=11640
lai zuo 	來做	c=1 d=1 t=314
lan 	欄	c=2 d=1.28938 t=9232
lan 	藍	c=1 d=1 t=13122
lan tian 	藍天	c=4 d=3.71453 t=1092
lan zhou 	蘭州	c=1 d=1 t=1346
lang fei 	浪費	c=2 d=1.94176 t=11938
lao 	老	c=2 d=1 t=10842
lao ban 	老闆	c=9 d=3.51257 t=10968
lao duan 	老段	c=1 d=1 t=8600
lao gong 	老公	c=15 d=2.66544 t=13641
lao hua 	老化	c=1 d=1 t=13860
lao lun 	勞倫	c=1 d=1 t=2235
lao shi 	老師	c=19 d=1.13145 t=11001
le 	了	c=177 d=1.31142 t=14493
lei 	累	c=1 d=1 t=8839
lei 	雷	c=1 d=1 t=8840
lei si 	類似	c=1 d=1 t=13048
lei xing 	類型	c=1 d=1 t=1147
leng dong 	冷凍	c=3 d=2.91683 t=11125
li 	李	c=3 d=1.01117 t=12419
li 	裏	c=9 d=1.79749 t=13798
li hai 	厲害	c=1 d=1 t=10784
li ji 	立即	c=1 d=1 t=645
li jie 	理解	c=4 d=1.92774 t=12834
li ke qiang 	李克強	c=1 d=1 t=11162
li lu 	里路	c=3 d=1 t=6443
li lun 	理論	c=18 d=1.85642 t=9818
li mian 	裏面	c=7 d=2.10771 t=13385
li ru 	例如	c=2 d=1.86071 t=1904
li run 	利潤	c=1 d=1 t=842
li san 	離散	c=5 d=1.9802 t=14321
li san dian 	離散點	c=1 d=1 t=11461
li xian sheng 	李先生	c=1 d=1 t=8619
li xiang 	理想	c=1 d=1 t=6391
li xiao 	離校	c=2 d=1.00848 t=7793
li yong 	利用	c=15 d=1.00001 t=12060
li yong lv 	利用率	c=2 d=1.97045 t=11999
li you 	理由	c=1 d=1 t=7466
li zhan 	李湛	c=1 d=1 t=1342
li zhi 	荔枝	c=2 d=1.99005 t=9321
li zi 	例子	c=2 d=1.00001 t=14149
lia 	倆	c=1 d=1 t=10920
lian 	連	c=2 d=1 t=12484
lian he 	聯合	c=3 d=1.04372 t=5734
lian jie 	連接	c=8 d=1.00002 t=13312
lian jie 	鏈接	c=6 d=1.00004 t=8966
lian jie xian 	連接線	c=1 d=1 t=8234
lian xi 	聯繫	c=9 d=1 t=12422
lian xi ren 	聯繫人	c=11 d=1.8781 t=12457
lian xu 	連續	c=21 d=1.68729 t=14414
liang 	兩	c=3 d=1 t=10370
liang 	涼	c=1 d=1 t=11043
liang bu fen 	兩部分	c=3 d=1 t=11827
liang dian 	兩點	c=1 d=1 t=338
liang du 	亮度	c=3 d=1.98511 t=9143
liang duan 	兩端	c=1 d=1 t=3366
liang ge 	兩個	c=9 d=1 t=12441
liang hao 	良好	c=1 d=1 t=5474
liang hua 	量化	c=4 d=1.99005 t=11684
liang kuai 	涼快	c=1 d=1 t=10980
liang zhang 	兩張	c=0 d=0.1 t=9497
liang zhe 	兩者	c=3 d=1 t=13692
liang zhong 	兩種	c=7 d=1 t=13646
liao jie 	瞭解	c=1 d=1 t=917
liao tian 	聊天	c=1 d=1 t=703
lie 	列	c=1 d=1 t=11695
lin 	林	c=3 d=2.88504 t=5519
ling 	零	c=1 d=1 t=3104
ling 	靈	c=1 d=1 t=7742
ling huo xing 	靈活性	c=3 d=1.97045 t=14200
ling wai 	另外	c=10 d=1.02091 t=13498
ling yi ge 	另一個	c=1 d=1 t=14428
ling yi pian 	另一篇	c=1 d=1 t=9780
ling yu 	領域	c=0 d=0.1 t=12857
liu 	劉	c=4 d=1 t=9636
liu cheng 	流程	c=2 d=1.81058 t=469
liu cheng tu 	流程圖	c=1 d=1 t=7652
liu lan qi 	瀏覽器	c=2 d=1 t=13146
liu liang 	流量	c=7 d=4.54433 t=13636
lou 	樓	c=3 d=0.1 t=6519
lu ban 	魯班	c=1 d=1 t=2690
lu bang 	魯棒	c=49 d=1.13177 t=14261
lu bang kong zhi 	魯棒控制	c=1 d=1 t=2807
lu bang lv bo 	魯棒濾波	c=1 d=1 t=2808
lu bang wen ding 	魯棒穩定	c=1 d=1 t=2692
lu jing 	路徑	c=3 d=1 t=11051
lu jing gui hua 	路徑規劃	c=1 d=1 t=6734
lu qu 	錄取	c=1 d=1 t=7381
lu qu tong zhi shu 	錄取通知書	c=1 d=1 t=7515
lu wen 	魯汶	c=1 d=1 t=3433
lu you 	路由	c=1 d=1 t=8559
lu you qi 	路由器	c=1 d=1 t=13367
lun bang 	論幫	c=1 d=1 t=3423
lun shu 	論述	c=2 d=1.97531 t=1767
lun wen 	論文	c=33 d=1.75397 t=13643
lun wen zhong 	論文中	c=1 d=1 t=1845
luo 	珞	c=2 d=1.99501 t=8717
lv 	率	c=1 d=0.1 t=12875
lv 	綠	c=1 d=1 t=7753
lv bo 	濾波	c=5 d=1 t=14262
lv bo qi 	濾波器	c=7 d=1.00008 t=14326
lv lian 	率斂	c=1 d=1 t=7752
ma 	嗎	c=49 d=1.00029 t=14010
ma 	嘛	c=22 d=1.2267 t=14471
ma 	碼	c=1 d=1 t=8653
ma fan 	麻煩	c=4 d=1.04658 t=9025
ma li ao 	馬里奧	c=1 d=1 t=9762
ma mi 	媽咪	c=1 d=1 t=9280
ma zi 	碼字	c=1 d=1 t=12399
mai 	買	c=16 d=1 t=13215
mai 	賣	c=1 d=1 t=833
mai bu dao 	買不到	c=2 d=1.42528 t=751
mai bu liao 	買不了	c=2 d=1.66365 t=773
mai bu liao le 	買不了了	c=1 d=1 t=465
mai di 	麥蒂	c=2 d=1.99005 t=13729
mai ge 	買個	c=3 d=2.02561 t=745
mai hui lai 	買回來	c=1 d=1 t=12339
mai jia 	買家	c=1 d=1 t=9342
mai le 	買了	c=3 d=1 t=6605
mai wan 	買完	c=1 d=1 t=8204
mai xia lai 	買下來	c=1 d=1 t=13463
mai yi ge 	買一個	c=1 d=1 t=6607
man hua 	漫畫	c=4 d=1 t=7741
man zu 	滿足	c=14 d=1.956 t=12233
mao si 	貌似	c=1 d=1 t=9829
me 	麼	c=4 d=1.00017 t=12426
me me 	麼麼	c=0 d=0.1 t=9053
me me da 	麼麼大	c=1 d=1 t=9054
mei 	沒	c=8 d=1.98532 t=12568
mei ci 	每次	c=4 d=1.06518 t=9392
mei fan ying 	沒反應	c=1 d=1 t=8139
mei fu 	每幅	c=1 d=1 t=9885
mei ge 	每個	c=5 d=1.03921 t=12108
mei gong 	美工	c=1 d=1 t=355
mei guan 	美觀	c=4 d=1.90937 t=9015
mei guan xi 	沒關係	c=1 d=1 t=9869
mei hua 	美化	c=3 d=2.87416 t=341
mei ji cuo 	沒記錯	c=2 d=1 t=13568
mei jin 	美金	c=2 d=1.85214 t=13599
mei le 	梅勒	c=1 d=1 t=13600
mei ren 	沒人	c=2 d=1.95123 t=887
mei shuo 	沒說	c=1 d=1 t=839
mei tiao 	每條	c=1 d=1 t=1868
mei wen ti 	沒問題	c=2 d=1 t=12748
mei you 	沒有	c=27 d=0.810716 t=13139
mei you kong jian 	沒有空間	c=1 d=1 t=11571
mei you la 	沒有啦	c=2 d=1 t=9446
mei you mai 	沒有買	c=1 d=1 t=790
mei you tu 	沒有圖	c=1 d=1 t=13140
mei zu 	每組	c=1 d=1 t=11749
men 	們	c=1 d=0.518952 t=12972
meng huan 	夢幻	c=1 d=1 t=14178
mi 	密	c=1 d=1 t=9100
mi 	米	c=0 d=0.1 t=7337
mi ma 	密碼	c=2 d=1.35345 t=8859
mi nong ren 	米農人	c=1 d=1 t=7338
mi yao 	密鑰	c=3 d=1 t=9244
mian 	麪	c=0 d=0.1 t=7080
mian fei 	免費	c=7 d=1.67712 t=13658
miao 	喵	c=1 d=1 t=6884
miao 	秒	c=1 d=1 t=13728
miao miao 	喵喵	c=4 d=2.55286 t=13637
miao shu 	描述	c=10 d=1.29195 t=14446
mie 	咩	c=2 d=1.79453 t=13187
ming 	名	c=1 d=1 t=1193
ming 	銘	c=26 d=1.98609 t=10475
ming cheng 	名稱	c=2 d=1 t=8482
ming ci 	名詞	c=1 d=1 t=9630
ming kai 	明凱	c=1 d=1 t=9632
ming ling 	命令	c=5 d=2.98414 t=10946
ming ming bai bai 	明明白白	c=1 d=1 t=897
ming que 	明確	c=1 d=1 t=14299
ming tian 	明天	c=11 d=1.39986 t=8715
ming xian 	明顯	c=6 d=1 t=12940
ming xiang 	冥想	c=1 d=1 t=4853
ming xing 	明星	c=1 d=1 t=2652
ming xun 	明訓	c=1 d=1 t=3800
ming zao 	明早	c=1 d=1 t=7550
ming zi 	名字	c=15 d=1.00147 t=10825
mo ban 	模板	c=5 d=1.79616 t=10234
mo kuai 	模塊	c=2 d=1.8781 t=8955
mo ren 	默認	c=9 d=2.15368 t=10693
mo shi 	模式	c=9 d=3.57278 t=13442
mo xing 	模型	c=23 d=2.13446 t=14222
mou 	某	c=0 d=0.1 t=53
mou ge 	某個	c=1 d=1 t=4124
mou xie 	某些	c=1 d=1 t=11413
mou yi ge 	某一個	c=1 d=1 t=54
mu biao 	目標	c=10 d=1.99005 t=14474
mu biao xi tong 	目標系統	c=4 d=1 t=14402
mu di 	目的	c=12 d=1 t=13678
mu ding 	牟定	c=1 d=1 t=5870
mu lu 	目錄	c=4 d=1 t=10712
mu qian 	目前	c=6 d=1 t=13223
na 	哪	c=1 d=1 t=8610
na 	拿	c=1 d=1 t=13023
na 	那	c=12 d=1.00551 t=12365
na ge 	哪個	c=4 d=1.01786 t=11515
na ge 	那個	c=18 d=3.5084 t=13311
na ge shi hou 	那個時候	c=1 d=1 t=7396
na jiu 	那就	c=1 d=1 t=8255
na jiu hao 	那就好	c=1 d=1 t=13445
na jiu shi 	那就是	c=2 d=1 t=13343
na lai 	拿來	c=1 d=1 t=12637
na li 	哪裏	c=1 d=1 t=489
na me 	那麼	c=5 d=1 t=13516
na pian 	那篇	c=3 d=1 t=13346
na shi 	那是	c=1 d=1 t=13129
na wo 	拿握	c=1 d=1 t=7019
na xie 	哪些	c=1 d=1 t=10544
na xie 	那些	c=1 d=1 t=2558
na yang 	那樣	c=2 d=1 t=12011
na zhong 	那種	c=2 d=1 t=7263
na zu 	那組	c=1 d=1 t=11741
nai ba 	奶爸	c=1 d=1 t=11111
nan 	男	c=2 d=1.02086 t=7410
nan 	難	c=2 d=1.956 t=758
nan dao 	難道	c=1 d=1 t=7948
nan dian 	難點	c=1 d=1 t=14167
nan du 	難度	c=3 d=1.00005 t=14329
nan gang qu 	南崗區	c=3 d=1.02317 t=8510
nan ti 	難題	c=1 d=1 t=12245
nan yi 	難以	c=1 d=1 t=5671
ne 	呢	c=13 d=1 t=14246
nei 	內	c=12 d=1 t=14334
nei cun 	內存	c=1 d=1 t=6567
nei rong 	內容	c=28 d=1.252 t=12168
nei rong zhong 	內容中	c=1 d=1 t=2596
neng 	能	c=21 d=3.40333 t=13449
neng gou 	能夠	c=1 d=1 t=2250
neng li 	能力	c=1 d=1 t=6761
neng liang 	能量	c=6 d=1.00017 t=13738
ni 	你	c=38 d=1.09234 t=14050
ni ba 	你把	c=1 d=1 t=6917
ni bu shi shuo 	你不是說	c=1 d=1 t=10804
ni de 	你的	c=1 d=1 t=12828
ni gang cai 	你剛纔	c=1 d=1 t=9898
ni hao 	你好	c=6 d=1 t=13872
ni hui jia 	你回家	c=1 d=1 t=9515
ni kan 	你看	c=1 d=1 t=2483
ni ke yi 	你可以	c=3 d=2.85508 t=10849
ni men 	你們	c=11 d=5.80123 t=970
ni ming 	匿名	c=1 d=1 t=10830
ni na 	你那	c=1 d=1 t=9997
ni na ge 	你那個	c=1 d=1 t=9846
ni na pian 	你那篇	c=1 d=1 t=10276
ni neng 	你能	c=1 d=1 t=8566
ni que ding 	你確定	c=1 d=1 t=10688
ni shi 	你是	c=3 d=1.48191 t=9492
ni xian 	擬憲	c=1 d=1 t=7034
ni yong 	你用	c=1 d=1 t=10665
nian 	年	c=3 d=1.93239 t=7540
niao ge 	鳥哥	c=1 d=1 t=8603
nin 	您	c=25 d=2.56512 t=12764
nin hao 	您好	c=25 d=3.07155 t=12592
nong 	弄	c=6 d=2.32032 t=7273
nong chu lai 	弄出來	c=1 d=1 t=10900
nong le 	弄了	c=1 d=1 t=10615
nong ren 	農人	c=0 d=0.1 t=7337
nong wan 	弄彎	c=1 d=1 t=7041
nuan hu 	暖壺	c=1 d=1 t=13665
o 	哦	c=6 d=1.99503 t=9440
ou 	歐	c=1 d=1 t=9326
ou he 	耦合	c=0 d=0.1 t=5669
ou he xing 	耦合性	c=3 d=1 t=11709
ou lu 	歐陸	c=11 d=10.0614 t=9334
ou yuan 	歐元	c=1 d=1 t=9158
pa 	怕	c=1 d=1 t=10946
pai 	排	c=1 d=1 t=8457
pai 	派	c=2 d=1.95761 t=10846
pai cha 	排查	c=3 d=2.14988 t=12659
pai chu 	排除	c=1 d=1 t=13743
pei he 	配合	c=1 d=1 t=4047
pei zhi 	配置	c=27 d=1.00008 t=13086
peng 	碰	c=0 d=0.1 t=977
peng 	鵬	c=1 d=1 t=9116
peng peng 	碰碰	c=1 d=1 t=1004
peng yi peng 	碰一碰	c=1 d=1 t=978
pi ping 	批評	c=1 d=1 t=5357
pian 	篇	c=3 d=1.00001 t=14023
pian 	騙	c=3 d=2.93605 t=10746
pian cha 	偏差	c=11 d=2.93708 t=6266
pian gui 	偏貴	c=2 d=1.98511 t=8328
pian yi 	偏移	c=1 d=1 t=13861
pin 	頻	c=1 d=0.110052 t=11073
pin gu gong 	頻故宮	c=1 d=1 t=11074
pin lv 	頻率	c=2 d=1.75957 t=10382
ping ce 	評測	c=3 d=1.23025 t=9657
ping chu 	評出	c=1 d=1 t=3851
ping fang 	平方	c=1 d=1 t=14252
ping gu 	評估	c=1 d=1 t=13790
ping guo 	蘋果	c=14 d=1.00626 t=13791
ping heng 	平衡	c=2 d=1.94176 t=11953
ping heng dian 	平衡點	c=1 d=1 t=3712
ping jun 	平均	c=5 d=1 t=8622
ping shen 	評審	c=1 d=1 t=3035
ping shi 	平時	c=3 d=2.33679 t=12699
ping yu 	評語	c=3 d=1.98637 t=1426
po 	破	c=2 d=1 t=11178
po jie 	破解	c=3 d=1 t=14530
po jie ban 	破解版	c=2 d=1.65377 t=160
pu bian xing 	普遍性	c=2 d=1.956 t=13951
pu gong ying 	蒲公英	c=2 d=1.00651 t=8727
pu jing 	普京	c=1 d=1 t=9694
qi 	其	c=13 d=1 t=12866
qi 	器	c=5 d=1 t=14059
qi che 	汽車	c=3 d=1.04954 t=12857
qi ci 	其次	c=1 d=1 t=1988
qi dong 	啓動	c=14 d=1.0646 t=13111
qi dong xiang 	啓動項	c=1 d=1 t=7715
qi e 	企鵝	c=1 d=1 t=9758
qi fa 	啓發	c=1 d=1 t=12067
qi jian 	期間	c=2 d=1.7788 t=7477
qi shi 	其實	c=3 d=1 t=13543
qi ta 	其他	c=4 d=1.00141 t=13487
qi yi 	奇異	c=3 d=1.44012 t=10331
qi yi zhi 	奇異值	c=25 d=1.82999 t=11621
qi yong 	啓用	c=3 d=1.90032 t=13136
qi zhong 	其中	c=14 d=1 t=13228
qia dao hao chu 	恰到好處	c=1 d=1 t=11652
qian 	前	c=2 d=1 t=13789
qian 	簽	c=1 d=1 t=7449
qian 	錢	c=1 d=1 t=8625
qian hou 	前後	c=1 d=1 t=205
qian jin 	前進	c=1 d=1 t=23
qian liang 	前兩	c=0 d=0.1 t=3404
qian liang bu fen 	前兩部分	c=1 d=1 t=3405
qian mian 	前面	c=1 d=1 t=7592
qian ru shi 	嵌入式	c=1 d=1 t=1382
qian shu 	前述	c=1 d=1 t=3924
qian ti xia 	前提下	c=1 d=1 t=5242
qian tian 	前天	c=1 d=1 t=7200
qian wan 	千萬	c=1 d=1 t=13239
qian yi 	前一	c=1 d=1 t=4677
qian zhe 	前者	c=1 d=1 t=8314
qian zi 	簽字	c=2 d=1.64082 t=7532
qiang 	強	c=3 d=1 t=9637
qiang diao 	強調	c=1 d=1 t=14218
qie 	且	c=2 d=1.18637 t=3721
qie huan 	切換	c=8 d=1.06255 t=9237
qie huan dao 	切換到	c=1 d=1 t=8542
qie huan xi tong 	切換系統	c=1 d=1 t=4217
qin ce 	親策	c=1 d=1 t=6559
qin nin 	親您	c=1 d=1 t=6448
qin qin 	親親	c=3 d=1 t=13017
qin wen 	親吻	c=1 d=1 t=12505
qing 	清	c=1 d=1 t=7262
qing 	請	c=1 d=1 t=9040
qing chu 	清楚	c=2 d=1.00023 t=12104
qing jiao 	請教	c=1 d=1 t=10510
qing kan 	請看	c=1 d=1 t=8065
qing kong 	清空	c=2 d=1.98511 t=11159
qing kuang 	情況	c=24 d=1.86952 t=14491
qing kuang biao 	情況表	c=2 d=1 t=6483
qing kuang xia 	情況下	c=9 d=1.01245 t=13380
qing nin 	請您	c=4 d=1.00035 t=9746
qing ting 	傾聽	c=1 d=1 t=5354
qing wen 	請問	c=17 d=4.27991 t=12656
qing wen yi xia 	請問一下	c=1 d=1 t=537
qing xi 	清晰	c=5 d=1.30749 t=7687
qing xi du 	清晰度	c=1 d=1 t=1144
qing ying 	清影	c=1 d=1 t=8719
qiu 	求	c=2 d=1.06298 t=11019
qiu chu 	求出	c=1 d=1 t=10361
qiu dao 	求導	c=3 d=1.43896 t=4492
qiu gai 	丘蓋	c=1 d=1 t=5275
qiu ji 	秋季	c=2 d=1.99005 t=7537
qiu jie 	求解	c=8 d=1 t=14143
qiu zhu 	求助	c=1 d=1 t=11296
qu 	區	c=1 d=1 t=275
qu 	去	c=9 d=1 t=14054
qu 	取	c=2 d=1 t=8243
qu bie 	區別	c=6 d=1.99501 t=12119
qu chong 	驅蟲	c=1 d=1 t=10252
qu ci 	取詞	c=2 d=1.97045 t=9307
qu dao 	渠道	c=1 d=1 t=7187
qu de 	取得	c=1 d=1 t=6805
qu diao 	去掉	c=0 d=0.1 t=10252
qu diao le 	去掉了	c=1 d=1 t=10253
qu fen 	區分	c=2 d=1.80252 t=12158
qu huo 	取貨	c=2 d=1.00401 t=8298
qu le 	去了	c=1 d=1 t=12736
qu xian 	曲線	c=28 d=2.64854 t=11622
qu zhi 	取值	c=1 d=1 t=7599
quan 	全	c=4 d=1.71188 t=10713
quan bu 	全部	c=1 d=1 t=12460
quan jing 	全景	c=1 d=1 t=6797
quan ju 	全局	c=3 d=1.81973 t=13446
quan li 	權利	c=3 d=2.81004 t=11199
quan mian 	全面	c=2 d=1 t=13985
quan shi 	全市	c=1 d=1 t=636
quan shi 	全是	c=1 d=1 t=10344
quan shi 	詮釋	c=1 d=1 t=12773
quan xian 	權限	c=3 d=2.73629 t=8447
que 	卻	c=1 d=1 t=5898
que bie 	卻別	c=2 d=1 t=6039
que de 	缺德	c=1 d=1 t=6804
que dian 	缺點	c=1 d=1 t=4092
que ding 	確定	c=6 d=1.00001 t=13076
que ren 	確認	c=1 d=1 t=7297
que shi 	確實	c=1 d=1 t=1000
que xin 	確信	c=1 d=1 t=14112
que zao 	確鑿	c=1 d=1 t=14110
ran er 	然而	c=2 d=1.99005 t=11918
ran hou 	然後	c=9 d=2.60376 t=13328
rang 	讓	c=3 d=1 t=10828
rang ren 	讓人	c=1 d=1 t=989
rang wo 	讓我	c=2 d=1 t=10992
rao dong 	擾動	c=14 d=2.83032 t=13740
re ai 	熱愛	c=1 d=1 t=6764
ren 	人	c=8 d=1.85762 t=13278
ren gong 	人工	c=0 d=0.1 t=9350
ren gong ke fu 	人工客服	c=1 d=1 t=9351
ren he 	任何	c=7 d=1.87253 t=13488
ren he ren 	任何人	c=1 d=1 t=13266
ren ji 	人際	c=1 d=1 t=13183
ren jia 	人家	c=4 d=2.53799 t=901
ren jia shuo 	人家說	c=1 d=1 t=831
ren min 	人民	c=0 d=0.1 t=8494
ren min jie 	人民街	c=4 d=3.75563 t=8536
ren shi 	人士	c=1 d=1 t=374
ren wei 	認爲	c=3 d=1.00097 t=5194
ren wu 	任務	c=2 d=1.7827 t=8939
ren yi 	任意	c=3 d=1 t=5948
ren zhen 	認真	c=2 d=1.00001 t=14134
reng 	仍	c=2 d=1 t=10040
reng ran 	仍然	c=5 d=1.38289 t=12431
reng xu yao 	仍需要	c=1 d=1 t=9008
reng yi 	仍以	c=1 d=1 t=5256
reng you 	仍有	c=2 d=1.91851 t=12183
ri 	日	c=4 d=1.24785 t=9635
ri ya 	日呀	c=1 d=1 t=8475
ri zhi 	日誌	c=1 d=1 t=6523
rong 	榮	c=3 d=1 t=11911
rong qia 	融洽	c=1 d=1 t=6772
rong yi 	容易	c=2 d=1 t=11907
rong yu 	冗餘	c=3 d=1.0177 t=12936
ru 	如	c=14 d=1.00012 t=13820
ru guo 	如果	c=20 d=1.00162 t=14044
ru he 	如何	c=73 d=1.00017 t=14547
ru tu 	如圖	c=2 d=1.00227 t=2529
ru xia 	如下	c=35 d=1.00003 t=13830
ru xia tu 	如下圖	c=1 d=1 t=1264
ru xian 	乳腺	c=2 d=1 t=5489
ru zhang 	入賬	c=1 d=1 t=8837
ru zhu 	入住	c=3 d=2.53062 t=7473
ruan jian 	軟件	c=12 d=1.00142 t=14531
rui 	睿	c=2 d=1 t=11729
san 	三	c=2 d=1 t=6410
san ge 	三個	c=5 d=1.02324 t=3770
san guo 	三國	c=0 d=0.1 t=8670
san guo sha 	三國啥	c=1 d=1 t=8671
san jiao 	三角	c=1 d=1 t=8548
san zhe 	三者	c=1 d=1 t=14242
san zhong 	三種	c=2 d=1.01391 t=3703
sao 	掃	c=1 d=1 t=13025
sao miao 	掃描	c=5 d=2.86946 t=13068
sha 	啥	c=1 d=1 t=10814
sha 	殺	c=1 d=1 t=8672
sha shi hou 	啥時候	c=1 d=1 t=13166
shai xuan 	篩選	c=4 d=1 t=14346
shan 	扇	c=1 d=1.07045 t=11133
shan chu 	刪除	c=4 d=1.11307 t=11577
shan dian zhan 	閃電戰	c=3 d=1.35169 t=8674
